,First Fit Times,First Fit Decreasing Times,Next Fit Times,Next Fit Decreasing Times,Best Fit Times,Best Fit Decreasing Times,Djang-Fitch Times,Djang-Fitch 2 Times
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.136396804,117591426.0,0.139128624,0.121187425,0.376207017,0.39359412,0.854113428,0.9356879619999999
std,0.016381801525864513,16364491.514956005,0.014424569380346593,0.01622783676718858,0.07983515109611337,0.08781980108010579,0.11128478998350352,0.42413678638733704
min,0.095484,87111000.0,0.110096,0.084775,0.195998,0.238439,0.5636380000000001,0.374581
25%,0.125141,107545500.0,0.12997125,0.10926225,0.31822075,0.33126225,0.77561325,0.6305762500000001
50%,0.1325515,114147000.0,0.13677299999999998,0.11959700000000001,0.3637145,0.3776035,0.8442040000000001,0.826385
75%,0.14378225,123652750.0,0.14489074999999998,0.1306235,0.42036575,0.43365375,0.9163034999999999,1.13263875
max,0.214674,210988000.0,0.211723,0.198937,0.7337710000000001,0.872533,1.4291550000000002,3.879949
