,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times
387,"(0, 0, 4, 26, 6, 6, 18)",0.37154459302616666,123731000,0.5531978902446,121822000,0.48341526362459997,127738000,0.4893509335858,126861000,0.3738803653908333,492530000,0.5532003057206,431145000,0.5531978902446,836610000
388,"(0, 0, 1, 29, 7, 8, 15)",0.35778333352125,135693000,0.42815456822075004,115718000,0.24586707868660002,148657000,0.6128632678596667,96850000,0.36577038196125,384295000,0.42815456822075004,442544000,0.42815456822075004,854097000
389,"(0, 1, 2, 27, 5, 6, 19)",0.4362337890646,125212000,0.64678260824275,97503000,0.416465804057,127352000,0.41516947636659995,104195000,0.4393144849074,414410000,0.64145010995875,312882000,0.64678260824275,703555000
390,"(0, 1, 3, 26, 9, 7, 14)",0.34828225198300006,139410000,0.5069793108141666,109467000,0.32647020153128575,138801000,0.6267427245502001,92519000,0.3486892292872858,342808000,0.5096363303288333,390113000,0.5069793108141666,788977000
391,"(0, 0, 2, 28, 9, 7, 14)",0.403206964414,149281000,0.5524380647992,114185000,0.361649688833,152464000,0.5289068996724,101339000,0.4037855288223334,275124000,0.5530120634768,354310000,0.5524380647992,763300000
392,"(0, 1, 1, 28, 9, 10, 11)",0.4182429095063333,137080000,0.5991541861472001,126801000,0.3967515012866667,133388000,0.4566007746246667,134247000,0.4150580978976666,375938000,0.622057977448,324129000,0.5991541861472001,722507000
393,"(0, 1, 1, 28, 4, 14, 12)",0.41169081805620006,126097000,0.66186077215575,119552000,0.3055345682515,131081000,0.45610205465260006,138620000,0.41286866549620005,334696000,0.66190795785375,342949000,0.66186077215575,839003000
394,"(0, 2, 1, 27, 6, 4, 20)",0.4003354718316,130925000,0.605819866382,94164000,0.2797881181676667,154955000,0.3939145788868,100168000,0.39915403806359995,455878000,0.605819866382,385877000,0.605819866382,770281000
395,"(0, 0, 6, 24, 7, 7, 16)",0.40603333854659995,140005000,0.6361305510837499,119855000,0.4057558508054,145330000,0.43072922531780006,132528000,0.40949353459579996,398248000,0.6361305510837499,297984000,0.6361305510837499,833019000
396,"(0, 1, 0, 29, 4, 10, 16)",0.36285784889025,154159000,0.46558955856525003,116402000,0.24058546702020003,147869000,0.40838360703275,150247000,0.38660241853574995,412328000,0.46558955856525003,422507000,0.46558955856525003,836326000
397,"(0, 0, 2, 28, 13, 3, 14)",0.35985845099566666,138203000,0.49222666379479996,115415000,0.3497728528903333,138603000,0.47198852981519995,134778000,0.4844296541772001,369385000,0.48803459967920004,470178000,0.49222666379479996,830405000
398,"(0, 1, 4, 25, 8, 5, 17)",0.35090644787766667,126820000,0.5335960072760001,117011000,0.33069049210566664,144269000,0.4781444535196,112885000,0.3521760201556667,527755000,0.538670135084,309167000,0.5335960072760001,728672000
399,"(0, 1, 1, 28, 3, 11, 16)",0.44159774723899997,133618000,0.67299176466375,109629000,0.29987265066450003,149696000,0.47472696559259997,146125000,0.441639772123,301533000,0.6770803101607501,321162000,0.67299176466375,961403000
400,"(0, 1, 0, 29, 4, 8, 18)",0.36266534798525,132480000,0.48791229297124994,101948000,0.24192906182020005,160283000,0.37384080404125003,136328000,0.36429550233325,339979000,0.48791229297124994,273370000,0.48791229297124994,966015000
401,"(0, 0, 3, 27, 8, 7, 15)",0.4215253388706666,150455000,0.6144881306623999,130453000,0.395714504211,138686000,0.547107948606,125839000,0.4237057271226667,352400000,0.6264183265248,337538000,0.6144881306623999,660947000
402,"(0, 0, 2, 28, 5, 9, 16)",0.47235065952149996,161533000,0.47012612673450005,110880000,0.422699382573,139673000,0.49979110408149996,132450000,0.4513486617585,356913000,0.47012612673450005,436085000,0.47012612673450005,751789000
403,"(0, 0, 3, 27, 9, 7, 14)",0.3415698489491667,131373000,0.5362708587253999,112931000,0.25077232106128566,126629000,0.4595302269478,130324000,0.3415698489491667,279293000,0.70520389038375,277847000,0.5362708587253999,850185000
404,"(0, 1, 1, 28, 7, 5, 18)",0.3694113650068,148900000,0.41610993907159993,141137000,0.3684239536068,127118000,0.4057159176931999,121183000,0.5063703553525001,385396000,0.526994736743,273884000,0.41610993907159993,1056161000
405,"(0, 1, 1, 28, 9, 6, 15)",0.5350922579774,162257000,0.5768185544266,129530000,0.30407494800671425,135883000,0.5480344068862,117985000,0.535644250509,271751000,0.5761614604438001,347432000,0.5768185544266,768225000
406,"(0, 0, 1, 29, 6, 6, 18)",0.34955585469125,135922000,0.39574869811924995,120081000,0.29275410235875,158352000,0.33889691112025,142985000,0.34955585469125,285070000,0.39581969296725,334525000,0.39574869811924995,922939000
407,"(0, 1, 2, 27, 8, 10, 12)",0.48068147616019996,165469000,0.5681889229634,113553000,0.3259733124151667,142613000,0.3701751631381667,143195000,0.3765500266658334,322702000,0.5681889229634,393984000,0.5681889229634,906637000
408,"(0, 3, 2, 25, 11, 9, 10)",0.43112726683842856,138772000,0.5911025727251668,111720000,0.4311840514312858,131791000,0.5812802776795,122055000,0.44009107030128564,476226000,0.48456160662785713,516662000,0.5911025727251668,837619000
