,First Fit Times,First Fit Decreasing Times,Next Fit Times,Next Fit Decreasing Times,Best Fit Times,Best Fit Decreasing Times,Djang-Fitch Times,Djang-Fitch 2 Times
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,7.188448,6.440742999999999,7.108451999999999,6.384768,14.359202,17.62526,27.857370000000003,88.19087400000001
std,0.8103650392217032,0.5719054876794223,0.6516537656810757,0.6748765476222525,3.422870083249261,5.112595278611724,3.602662480450819,30.599389643466363
min,5.41,4.874,5.297,4.689,7.755,8.192,17.973,21.319
25%,6.7555,6.03525,6.655749999999999,5.88875,11.97825,13.803999999999998,25.503500000000003,67.48349999999999
50%,7.127,6.409,7.083499999999999,6.332,13.940000000000001,16.8495,27.552999999999997,84.2135
75%,7.5565,6.8285,7.524,6.8345,16.25825,20.67275,29.7855,104.62075
max,23.662,8.68,9.539,9.001999999999999,33.667,50.317,60.49,277.669
