,First Fit Score,First Fit Decreasing Score,Next Fit Score,Next Fit Decreasing Score,Best Fit Score,Best Fit Decreasing Score,Djang-Fitch Score,Djang-Fitch 2 Score
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.41300814663287927,0.542307663723608,0.34877249338723637,0.4889902313423944,0.4142662853584189,0.5462432634009025,0.542307663723608,0.542307663723608
std,0.06145948208293216,0.06202224727883794,0.0638034498978302,0.07256601835936383,0.06242726975232012,0.06470723159664048,0.06202224727883794,0.06202224727883794
min,0.2494474723258571,0.37027916421525,0.1774954896605714,0.2437491968295,0.2441640556574999,0.37027916421525,0.37027916421525,0.37027916421525
25%,0.36774813545147145,0.5021516833144,0.30635884097424293,0.44294884175341676,0.3689006966487679,0.5042155396128625,0.5021516833144,0.5021516833144
50%,0.40951798556091656,0.5399164179941667,0.3438569928329166,0.4833249809232142,0.4098207504285952,0.5441772733599,0.5399164179941667,0.5399164179941667
75%,0.457071155384275,0.5827934571307375,0.38749632766276776,0.5350269322533501,0.458271320487175,0.5857387742731499,0.5827934571307375,0.5827934571307375
max,0.6148164445525,0.73029300856125,0.5841533599755,0.741224010273,0.6199521833849999,0.74129192808975,0.73029300856125,0.73029300856125
